class,ap50
mealy_bug,0.39549772725182347
american_bollworm,0.6422758714227587
whitefly,0.7524752475247525
army_worm,0.7588352265682863
thrips,0.7592149985820985
powdery_mildew,0.7689656986540339
cotton_aphid,0.8049778724927412
red_cotton_bug,0.8158239945455761
leaf_hopper_jassids,0.8410669261690833
pink_bollworm,0.860947666195191
open_cotton_boll,0.9149784801590943
leaf_reddening,0.9460883600494447
healthy,0.9773726248195611
bacterial_leaf_blight,0.9816117747657633
cotton_leaf_curl_virus,0.9876848168312561
fusarium_wilt,0.9892292743099194
boll_rot,0.9892962269199892
alternaria_leaf_spot,0.995682244772729
verticillium_wilt,0.9957497313535896
leaf_variegation,0.9992310504047069
herbicide_growth_damage,1.0
