epoch,mAP50_95,AP50,AP75,APS,APM,APL,train_loss,train_lr
0,0.4412039023653466,0.46925503428699267,0.4382052191325225,0.03329642349989494,0.08278617768351154,0.473294853349242,45.40168792747854,1.644890148950604e-05
1,0.546097243296898,0.6091943863419566,0.5362153233698889,0.09278863398971496,0.4326001896085094,0.5821770252532871,25.09190204907045,3.000000000000127e-05
2,0.6121185111427513,0.7198689791727148,0.5954047757119111,0.1358961937990781,0.4771828943957216,0.6519360946925311,20.325579372869605,3.000000000000127e-05
3,0.6266062796460987,0.7363327265916311,0.623307391824176,0.1551563552561121,0.5249650011145242,0.6647118581936189,17.693321707608657,3.000000000000127e-05
4,0.6179074260901923,0.7215026534971022,0.6114382643886559,0.14693927277345936,0.4938512371948433,0.6559957367721422,26.12720950358448,3.000000000000127e-05
5,0.6235948678508657,0.7318344796211027,0.6174796270830717,0.15058125836621275,0.4966313659199104,0.6615087469301419,21.681278496395517,3.000000000000127e-05
6,0.6393094567065821,0.7544354201764591,0.630157765868076,0.15272683184363886,0.5117855750259698,0.6783993943272134,20.166823267371733,3.000000000000127e-05
7,0.65171502405613,0.7665874887177249,0.6451525530832415,0.15500872657656778,0.5159592136484141,0.689884003812615,19.34046927140868,3.000000000000127e-05
8,0.658332183724953,0.774436096391145,0.6621167157367013,0.15905520911971627,0.5276352591640064,0.6964230149667467,18.557338637279027,3.000000000000127e-05
9,0.67337085750967,0.7921278221295418,0.6765456474521246,0.1634478735741684,0.5423694496941857,0.7104546581690135,17.97244051137161,3.000000000000127e-05
10,0.6743673009160238,0.7907031851376397,0.6717289780356448,0.16706463954861311,0.5564105568972776,0.711513992173719,17.451517230042267,3.000000000000127e-05
11,0.6899256821160892,0.8142756236854611,0.6858339901353725,0.1717369251724386,0.562823277030399,0.7273534321048661,16.98557604464955,3.000000000000127e-05
12,0.6954554515519844,0.8211071901740327,0.6963182329909539,0.17746695216993436,0.5605542562105112,0.7319844154277438,16.772103531585,3.000000000000127e-05
13,0.6998140534984771,0.8336682501391632,0.69759880626071,0.18039054408533542,0.561557398975613,0.7366994654165131,16.477702334835953,3.000000000000127e-05
14,0.7045403968974142,0.8382086607890535,0.7052138878265638,0.18348185846591356,0.5783428177219648,0.7408035360198626,16.20329753401801,3.000000000000127e-05
15,0.7055229452139474,0.8436401697750923,0.6954696728964631,0.18799106623015013,0.5864761868126351,0.7417330044155164,15.948413334751582,3.000000000000127e-05
16,0.707061127226316,0.8472578178424353,0.6985565596600226,0.19064337877609283,0.5111776916144016,0.7428608550364811,15.589824412429179,3.000000000000127e-05
17,0.7104188880524192,0.8512772125844712,0.7005907864916774,0.19488797492333554,0.49129967531997315,0.746001373493959,15.598036253863924,3.000000000000127e-05
18,0.7119922140079993,0.8567358269253659,0.7035844277808889,0.19826909420249453,0.4742721052144101,0.7475574961440922,15.334121895708098,3.000000000000127e-05
19,0.7148600003876322,0.8601591015570739,0.7024230825195114,0.19953620473421366,0.4919309455490476,0.7493181652117856,15.254480382923186,3.000000000000127e-05
20,0.7185391096648805,0.8635827202255014,0.7044433681462814,0.20299789731141035,0.49431589008510357,0.7529685228273874,15.193356320594885,3.000000000000127e-05
21,0.7161650872347529,0.859539856900741,0.704092950803157,0.20602568886019287,0.615410187474909,0.7499638522094765,14.93887568569377,3.000000000000127e-05
22,0.715368525979464,0.8628559954141389,0.7079228150459683,0.20783898830611475,0.610094291640932,0.7485029478671426,13.280786004676639,3.000000000000127e-05
23,0.7123957410081506,0.8579035900570587,0.7052094419165824,0.21067753184454724,0.6119197684221531,0.7464672269729677,13.269481708491744,3.000000000000127e-05
24,0.7163854800426742,0.8610106669176519,0.7108831449857936,0.21367907719537577,0.6258982989781848,0.74873942736747,12.844596286843416,3.000000000000127e-05
25,0.7187965821794542,0.8583812603193584,0.7093870062537057,0.2158756581412962,0.6273489527002795,0.7498873694855098,12.829313734212112,3.000000000000127e-05
26,0.7178618152921797,0.8655717054186857,0.7089342902982431,0.2194929742564517,0.6258214120594502,0.7486696970301691,12.503737389597443,3.000000000000127e-05
27,0.7195954390147685,0.8568577732119211,0.7101382815566006,0.22018171075814988,0.6313488422837013,0.7503234778836877,12.401117847267647,3.000000000000127e-05
28,0.7224834248644331,0.8589086777512311,0.7115577154432035,0.2219132488089519,0.6180125773906736,0.7524823305996733,12.310849707596352,3.000000000000127e-05
29,0.7238290943053992,0.8550131279453047,0.7108148014006803,0.2231691914599342,0.6177544288404548,0.7541585706683032,12.22908539286157,3.000000000000127e-05
