epoch,train_loss,lr,mAP50_95,AP50,AP75,APS,APM,APL
0,55.341728466777944,7.562839076498999e-05,0.42464451813539544,0.4603889405433763,0.4183876007425383,0.02681880339601147,0.1327302937467585,0.44565387243069565
1,25.15175993141842,0.0001399999999999905,0.5261960952893782,0.6270038951611836,0.5007501018194516,0.09215048776862801,0.1991903043442892,0.5584161114136703
2,20.5299711672706,0.0001399999999999905,0.5829832555903783,0.6999696964309248,0.5629370944260036,0.1439850414302396,0.2785706805843055,0.6187586557000315
3,18.35777864876819,0.0001399999999999905,0.6232694638514366,0.7701949596779533,0.5988147268620754,0.17291781785517113,0.36156813983365493,0.6542892343226441
4,28.785497712070246,0.0001399999999999905,0.6427494573099188,0.774200269277001,0.6309994555021239,0.13231658861095338,0.34754797896013573,0.6716341601944743
5,23.572535157943083,0.0001399999999999905,0.6545514188595767,0.7925186260215404,0.6426823369622532,0.14062658076821796,0.36625107342341245,0.6825634716388067
6,21.904167608422792,0.0001399999999999905,0.665481440140484,0.8088624413724553,0.6564809750908818,0.14608295917952127,0.37813066920144517,0.6945574307492274
7,20.964031489120526,0.0001399999999999905,0.6767566030754106,0.8205019984040005,0.6736574765262041,0.15771849730990695,0.3960059876289351,0.7063228923679508
8,19.888380954382257,0.0001399999999999905,0.6843396345573457,0.8333144836184226,0.6808268120223984,0.1610062125846405,0.41212826320201024,0.7148786759003348
9,19.435013101480486,0.0001399999999999905,0.6956893266942819,0.8448013006717626,0.694371368512394,0.17517933126262106,0.4246372151113458,0.7268945138626508
10,18.499453815897937,0.0001399999999999905,0.7008904774651753,0.8421163626571213,0.7019091097120996,0.18102945809981752,0.43815966704736353,0.735362646222907
11,18.4003431468401,0.0001399999999999905,0.704750964440975,0.848060975985401,0.7035581093082257,0.18025733142417388,0.447167505594191,0.7398699149054804
12,17.793286101231487,0.0001399999999999905,0.7132779424570811,0.863605225380821,0.7073084871060106,0.18800871172171144,0.46224873251170057,0.7507598811785959
13,17.4411746949512,0.0001399999999999905,0.7192612791477684,0.8655398719385625,0.712259119543029,0.20575902494076675,0.4693781473859451,0.7566455444116468
14,17.10608753379175,0.0001399999999999905,0.7250226149575955,0.8763729256612858,0.7202335463490833,0.20762782973818306,0.47694824256084256,0.7631745047658905
15,16.88228947355532,0.0001399999999999905,0.72807047141727,0.8811362778123121,0.7202988788700032,0.21014750130647875,0.4834198048930287,0.7675398075478095
16,16.541738644704417,0.0001399999999999905,0.7349116809401246,0.8843677982252649,0.7312084362259363,0.2086299561523321,0.4953050416039772,0.7745738142078087
17,16.412534205688434,0.0001399999999999905,0.7412753627549156,0.8892888111842043,0.7383151418925913,0.21035179153486333,0.5051294202629182,0.7819937407209944
18,16.063424389005775,0.0001399999999999905,0.7447396045236168,0.8903586734146751,0.7439535422303096,0.21077426139664068,0.5067487527265251,0.787620986603633
19,15.972711818453199,0.0001399999999999905,0.7490865875556629,0.8941776326795874,0.7467690572787309,0.21721573752468287,0.5135864819559826,0.7917294438537749
20,15.678371431250806,0.0001399999999999905,0.7544093290423525,0.8968020906009726,0.7495427687760873,0.21922661843627983,0.5162942464710627,0.7971650861621749
21,15.576593229312227,0.0001399999999999905,0.756261038686835,0.8975371573261454,0.7595393302375355,0.219458649468138,0.5227282788513312,0.7986022319949847
22,13.774229288676294,0.0001399999999999905,0.7602221637703835,0.9003265333722418,0.7630741205780408,0.21982521765857596,0.527122448484578,0.8025309718749837
23,13.459400517952023,0.0001399999999999905,0.7597480935847805,0.9006202459572082,0.7597022113188503,0.23117852991148208,0.5217904978213439,0.8029014774067885
24,13.341207523825743,0.0001399999999999905,0.7621808514574574,0.9005350064390155,0.7635996202044036,0.23378115606202007,0.5305444090339329,0.8046026215235405
25,13.090992385317422,0.0001399999999999905,0.7628396653030688,0.9006104900237261,0.7690361777943785,0.23412610038783097,0.5321289719481689,0.806475666316522
26,12.969025326547419,0.0001399999999999905,0.7635677351187097,0.9004756944108268,0.768250162690717,0.24011776907499874,0.5424284136692906,0.8054747113919751
27,12.866399858180282,0.0001399999999999905,0.7673524355200056,0.9039204867893152,0.7740226505627918,0.24559748098733775,0.5442736211918761,0.8079855308799017
