class_name,train_instances,train_images,val_instances,val_images,test_instances,test_images,v9_best_AP50_epoch34,v9_latest_mAP50_95,v9_latest_AP50,v9_latest_AP75,v9_latest_AR,v22_finetune_best_AP50_epoch9,v9_minus_v22_AP50
cotton_aphid,1123,695,133,88,146,86,0.7009461640659669,0.5728781707418387,0.8269881120700595,0.5186280763681821,0.6383458646616542,0.7479559996962456,-0.04700983563027872
mealy_bug,512,280,67,35,75,35,0.7567397704083828,0.6311099065236727,0.7806849035934669,0.6975514955959633,0.7343283582089553,0.7903020484949789,-0.033562278086596065
red_cotton_bug,154,148,19,19,20,19,0.8657028202820285,0.6669579329189914,0.8725100861666679,0.6477751710158184,0.8157894736842104,0.9117568435381683,-0.04605402325613983
leaf_hopper_jassids,3370,2093,424,263,376,263,0.9043480915854776,0.6621722706275608,0.8964057120627271,0.6599066847903584,0.7433962264150943,0.9128605343038195,-0.00851244271834195
american_bollworm,523,423,73,52,75,52,0.9001486307081846,0.8218210918197365,0.9411924744654676,0.8790605321088908,0.8808219178082192,0.9322493045794893,-0.032100673871304664
pink_bollworm,518,255,56,33,51,32,0.8431731174211162,0.7072345637980378,0.8451545869617079,0.7644001369187696,0.8107142857142857,0.8588169951877566,-0.015643877766640335
army_worm,218,214,27,27,27,26,0.9465058102448902,0.597266356097532,0.8897068530382448,0.5812078080286738,0.7074074074074075,0.9170418457308204,0.02946396451406985
thrips,423,231,38,29,50,28,0.9571145603600333,0.8034883712960152,0.9631946687625031,0.857299742348221,0.85,0.9737541398927535,-0.016639579532720217
whitefly,499,98,72,13,53,12,0.6284813284660559,0.607319091650956,0.803079790735354,0.718466447946597,0.7666666666666667,0.6742723581816933,-0.04579102971563742
bacterial_leaf_blight,4732,4723,590,590,591,590,0.983819624489745,0.8603965268356707,0.8647496240602983,0.863613729523893,0.9962711864406778,0.9866157263623466,-0.0027961018726015974
alternaria_leaf_spot,928,928,116,116,116,116,0.9953231488406734,0.9921362492016456,0.9921362492016458,0.9921362492016458,1.0,0.9923789269547306,0.0029442218859427882
cotton_leaf_curl_virus,2877,2668,362,333,362,333,0.9667883568501443,0.8365252906236395,0.8801657135741409,0.8425143009603211,0.9544198895027624,0.9833413721205845,-0.016553015270440175
fusarium_wilt,1785,1783,224,224,224,223,0.9816714730502655,0.8115957320719771,0.813414159084317,0.8127112616560266,0.9982142857142857,0.9890898921513811,-0.007418419101115625
verticillium_wilt,1028,1028,130,130,130,130,0.9958644725570837,0.9787563796768425,0.9787563796768425,0.9787563796768425,1.0,0.9915067962925799,0.004357676264503785
powdery_mildew,143,137,19,18,19,18,0.8697298060212522,0.453252788290076,0.7853347436033083,0.46954294353164383,0.6263157894736843,0.9016521224388648,-0.03192231641761267
leaf_variegation,712,712,89,89,89,89,1.0,1.0,1.0,1.0,1.0,1.0,0.0
leaf_reddening,1404,1400,180,175,174,174,0.9585280631526077,0.966726650853061,0.9747907332445503,0.9659796199723086,0.9761111111111112,0.9648674812665472,-0.0063394181139394545
herbicide_growth_damage,943,943,118,118,118,118,1.0,1.0,1.0,1.0,1.0,1.0,0.0
boll_rot,213,213,27,27,27,27,1.0,0.9948898115618012,0.9948898115618015,0.9948898115618015,1.0,0.99726869238648,0.0027313076135200287
open_cotton_boll,15100,531,1736,66,1885,66,0.9652597077760168,0.7486217726460148,0.9834189183951079,0.8777216779329652,0.7809331797235024,0.9722100998826542,-0.006950392106637393
healthy,3782,3771,482,473,471,471,0.9635299956765843,0.761787520604858,0.7645422823488547,0.7613936596056164,0.9800829875518673,0.9670213661327923,-0.003491370456208065
